V_rms,I_rms,Active_Power,Apparent_Power,Reactive_Power,Power_Factor,I_Fund,I_3rd,I_5th,I_7th,THD
229.73033,7.207132,1591.4882,1655.6968,456.61462,0.96121967,4.9978566,0.9939843,0.0050550126,0.0031109762,0.19936837
229.89894,7.209971,1592.7754,1657.5647,458.89783,0.96091294,4.999285,0.99746096,0.0017698328,0.0019599458,0.19992815
229.8765,7.218481,1593.9224,1659.359,461.3937,0.96056503,5.00413,1.0033467,0.0022473356,0.004054338,0.20102292
229.86208,7.1992106,1589.8647,1654.8256,459.1052,0.9607446,4.992084,0.9940553,0.0105206035,0.009803493,0.19965869
229.86252,7.2155294,1592.7814,1658.5797,462.53036,0.96032846,5.001571,1.0055765,0.011726275,0.0042639277,0.20155257
229.87367,7.212729,1592.9866,1658.0165,459.7962,0.9607785,5.000104,1.0024371,0.007599973,0.008921035,0.20107332
229.93436,7.22304,1596.9269,1660.8251,456.2505,0.9615262,5.009008,0.9955592,0.0037431717,0.0032114747,0.19924161
229.99893,7.2176867,1594.9758,1660.0602,460.27347,0.96079403,5.0028687,1.006866,0.008130508,0.0031249304,0.20175613
229.93114,7.207862,1592.4497,1657.3119,459.11478,0.96086305,4.996708,1.0024289,0.0036780348,0.0030402848,0.20108524
229.76358,7.199983,1590.0969,1654.294,456.37738,0.9611937,4.9917445,0.99855787,0.009019388,0.0073281564,0.20056765
229.82327,7.2137914,1593.5024,1657.8972,457.57294,0.9611588,5.001419,1.0003712,0.0068721646,0.0067478474,0.20046376
229.78168,7.209866,1591.7415,1656.6952,459.3452,0.9607932,4.9982896,1.0017246,0.0024735339,0.00305325,0.20088685
229.9643,7.2103734,1593.1029,1658.1284,459.7967,0.9607838,5.0001383,0.9940098,0.005879936,0.010125272,0.19932964
229.74594,7.217322,1593.6113,1658.1504,458.1111,0.96107763,5.0044355,0.9980525,0.005562104,0.0036365,0.19987199
229.74051,7.206463,1591.0226,1655.6165,457.94452,0.96098495,4.996486,0.9982509,0.0076467628,0.0047805267,0.20031372
229.98677,7.2073793,1592.4926,1657.6019,460.01263,0.9607207,4.997337,0.99748707,0.007624492,0.004797581,0.20008573
229.76154,7.2230697,1594.8312,1659.5835,459.0545,0.96098274,5.007575,1.0028898,0.0050031277,0.006147665,0.2007491
229.93442,7.214518,1594.6196,1658.866,457.19186,0.9612709,5.002301,0.9982844,0.0048614354,0.008761114,0.20007017
229.92944,7.21107,1593.4064,1658.0374,458.41437,0.96101964,4.9990616,1.002244,0.0005709625,0.009242212,0.20096587
229.8094,7.2109365,1591.7329,1657.141,460.9802,0.96052957,4.9978585,1.0079231,0.0020354216,0.0040832954,0.20209844
229.83408,7.217914,1593.5941,1658.9226,460.95795,0.96061987,5.0032363,1.0059724,0.0032882008,0.0052560745,0.20153941
229.58592,7.2125626,1591.2872,1655.9028,458.0602,0.9609786,5.0000443,1.0025116,0.0049187606,0.0017399841,0.2010081
229.76189,7.2039495,1590.6339,1655.1929,457.76328,0.9609961,4.994221,1.0006026,0.0026009595,0.0032126359,0.20085423
229.80766,7.2146416,1593.2445,1657.9799,458.76926,0.96095526,5.0022893,0.99867874,0.0036678624,0.004553523,0.20017101
229.8311,7.2013664,1591.0104,1655.0979,456.10864,0.9612787,4.993245,0.9964685,0.005561004,0.0053082993,0.20000687
229.83191,7.212903,1593.1165,1657.7552,458.40173,0.9610083,5.0001283,1.00336,0.0048848004,0.006888398,0.20116198
229.74922,7.2070937,1591.4774,1655.8241,457.11386,0.9611392,4.998123,0.9924598,0.0023315048,0.0075526335,0.19906338
229.85507,7.213221,1593.8032,1657.9955,456.881,0.9612832,5.001071,0.9995604,0.00062403956,0.005424141,0.20041394
229.81946,7.217022,1593.4177,1658.612,460.44943,0.9606935,5.003869,0.99965584,0.010267173,0.0022083975,0.20024519
229.93997,7.2141795,1593.82,1658.8281,459.8357,0.9608108,5.0010767,1.0033189,0.0055959118,0.008565867,0.20109594
229.93439,7.207145,1591.7748,1657.1704,460.94122,0.9605378,4.9959445,1.003332,0.004224949,0.0061719525,0.20136146
230.01674,7.210334,1593.3728,1658.4974,460.19223,0.96073276,4.99828,1.0033629,0.002364922,0.0036784178,0.20123175
229.76619,7.211277,1592.0938,1656.9077,458.89078,0.96088254,4.9993496,1.0016862,0.0034262217,0.004197091,0.2008016
229.89046,7.203627,1591.0955,1656.0452,459.23947,0.9607802,4.9933043,1.0038459,0.0082780775,0.0048667234,0.20156917
229.93816,7.2143445,1594.8994,1658.853,456.1682,0.96144706,5.00204,0.9992658,0.002866716,0.006975835,0.20021592
229.94063,7.204645,1592.3541,1656.6406,457.01907,0.9611947,4.995112,0.9984803,0.008880132,0.0059488146,0.20042776
229.85904,7.2181625,1593.6542,1659.1599,461.60376,0.9605187,5.0032344,1.006825,0.0069103437,0.0036993378,0.2017214
229.82297,7.208737,1592.2615,1656.7333,457.6774,0.96108496,4.9982615,0.9980565,0.002119542,0.0037659872,0.20010301
229.70364,7.2166443,1592.1105,1657.6895,461.64755,0.96043956,5.0026116,1.004219,0.00475541,0.0042248974,0.20127706
229.85828,7.208448,1592.0007,1656.9214,459.2627,0.96081847,4.996673,1.0046982,0.0041718083,0.004053432,0.20154475
229.70284,7.216439,1592.9768,1657.6365,458.4576,0.9609929,5.002252,1.0055535,0.0026804137,0.014990753,0.20150065
229.8952,7.2049484,1591.2273,1656.383,460.00085,0.9606638,4.9936876,1.007315,0.007904049,0.009305764,0.20211911
229.80862,7.2166038,1593.838,1658.4379,458.36282,0.96104777,5.002949,1.0030133,0.0039480766,0.0072076456,0.20089841
229.77391,7.2174144,1593.6895,1658.3735,458.64636,0.9609955,5.0040545,1.0000899,0.0056921197,0.008076887,0.20033409
229.79037,7.221943,1594.7633,1659.533,459.10706,0.96097124,5.007505,0.99895126,0.0012280326,0.004457643,0.20001693
229.77925,7.213226,1592.6515,1657.4497,458.91275,0.96090484,5.001237,0.99909896,0.001628303,0.001714669,0.20024619
229.71992,7.2174163,1593.6134,1657.9843,457.50223,0.9611752,5.0040746,0.9999877,0.009610045,0.009485292,0.20031679
229.67134,7.2246118,1594.4025,1659.2863,459.46912,0.96089655,5.0087786,1.0021318,0.005391921,0.0033151763,0.2006102
229.67833,7.217467,1592.8192,1657.6957,459.219,0.9608634,5.0031714,1.0045612,0.0025491603,0.004140979,0.20128642
229.79288,7.203008,1589.8174,1655.2,460.61652,0.9604987,4.9935136,1.0008613,0.0047673276,0.0006663214,0.20090821
229.79448,7.207351,1591.1298,1656.2095,459.71317,0.9607056,4.9968724,0.9992737,0.0020523232,0.0043393397,0.20054697
229.91235,7.2109003,1593.5103,1657.875,457.46542,0.96117634,4.999009,1.0017828,0.0034028532,0.0029244882,0.20088398
229.65689,7.2161555,1592.4263,1657.2399,458.93634,0.96089065,5.003261,0.99950874,0.0036661064,0.003991806,0.20025256
229.80534,7.199201,1589.4132,1654.4149,459.1888,0.96071017,4.991285,0.99811536,0.0032088296,0.0024000045,0.20048895
229.73277,7.2250047,1594.8416,1659.8203,459.87378,0.9608519,5.008723,1.004123,0.0035008548,0.0066205496,0.20094962
229.67216,7.216188,1592.6625,1657.3575,458.5414,0.9609649,5.0031824,1.0003633,0.0010547815,0.0025049879,0.20035672
229.63881,7.2188907,1592.8927,1657.7374,459.11462,0.9608836,5.005326,0.9991451,0.00097300415,0.004622593,0.20007883
229.8617,7.2122416,1593.1461,1657.8181,458.52625,0.9609897,5.000999,0.9964801,0.00608161,0.0021724533,0.19978344
229.90324,7.2064943,1592.4692,1656.7965,457.1831,0.9611737,4.997143,0.9954287,0.004919951,0.004423381,0.19964941
229.73691,7.215348,1592.5858,1657.6317,459.79672,0.9607598,5.0025945,1.0000691,0.008040582,0.00228102,0.20036548
229.9729,7.2120686,1593.4111,1658.5803,460.35794,0.9607079,5.0006886,0.99739236,0.006724475,0.013471487,0.1999804
229.72337,7.2151046,1593.058,1657.4781,457.60272,0.9611336,5.002258,1.0006456,0.007707166,0.0016789221,0.2005379
229.8044,7.2122073,1592.3181,1657.397,459.87802,0.9607343,5.0011363,0.9957085,0.0050639394,0.006191434,0.19961521
229.71704,7.2098827,1591.8232,1656.233,457.39084,0.9611107,4.9996305,0.9950386,0.004791928,0.0020732423,0.19950485
229.71512,7.2141237,1592.4469,1657.1932,458.69644,0.9609301,5.002373,0.9964191,0.0056786695,0.007266993,0.19971171
229.85475,7.217262,1593.7048,1658.922,460.57245,0.96068704,5.0041513,0.99868727,0.0109157795,0.005970181,0.20012459
230.02136,7.206901,1592.7971,1657.7411,459.45935,0.96082383,4.996247,1.0014026,0.0016790791,0.0053406646,0.20087472
229.89558,7.1980944,1589.9517,1654.8102,458.74847,0.96080613,4.9904838,0.9982609,0.0014511555,0.0019335971,0.20051779
229.87341,7.2142644,1593.4891,1658.3676,459.32077,0.9608781,5.002137,0.9981076,0.006558478,0.0036035145,0.20005973
230.03162,7.2054176,1592.6211,1657.4739,459.10532,0.96087253,4.9958353,0.9978162,0.0070192344,0.003549554,0.20023498
230.06418,7.224268,1596.941,1662.0453,460.62323,0.96082884,5.007816,1.0059407,0.003153293,0.005151717,0.20136021
229.81746,7.2069993,1591.6697,1656.2943,458.14655,0.96098244,4.996436,1.0007026,0.0060539744,0.0014443767,0.20074663
229.81697,7.2121563,1592.8062,1657.476,458.4703,0.960983,5.000201,1.0002046,0.0026144094,0.009639,0.20055573
229.77774,7.214826,1593.073,1657.8064,458.73795,0.9609524,5.001735,1.0021969,0.0013747354,0.0058126613,0.20087881
229.87714,7.2059026,1591.7075,1656.4723,458.65845,0.960902,4.9954944,1.001635,0.0014585742,0.0024477039,0.20093548
229.70674,7.216171,1593.0538,1657.603,458.06924,0.9610587,5.002003,1.0058229,0.0055749314,0.005629152,0.20156524
229.87343,7.2198353,1595.1232,1659.6483,458.27347,0.9611212,5.005632,1.0009372,0.0067031714,0.003855326,0.20043951
229.7758,7.2155404,1593.1658,1657.9565,458.95847,0.9609213,5.0031962,0.99723446,0.0059920633,0.006606868,0.19988032
229.70102,7.214419,1592.6777,1657.1594,457.77164,0.961089,5.0027313,0.9958975,0.0022250651,0.0073822783,0.19955249
229.86555,7.2160487,1593.6895,1658.7211,459.90155,0.96079415,5.002718,1.0015334,0.008384786,0.011690826,0.20073883
229.92236,7.219942,1594.9984,1660.0261,460.0728,0.9608273,5.0062065,0.99828744,0.0061761155,0.0049219644,0.19992109
229.73012,7.216265,1593.3901,1657.7935,457.58817,0.9611512,5.0032578,0.99963653,0.0056999233,0.009945284,0.2003345
229.78174,7.211823,1592.3212,1657.1451,458.95914,0.9608821,5.0000114,1.0000882,0.0018464946,0.006510954,0.20050947
229.87701,7.2112255,1592.7657,1657.6951,459.40204,0.9608316,4.9997287,0.99964887,0.009903535,0.0049266606,0.2003732
229.79495,7.214004,1592.7377,1657.7417,459.66745,0.9607876,5.0021915,0.99689347,0.002205452,0.0038112,0.19981448
230.12733,7.2110257,1594.8606,1659.4542,458.48416,0.9610754,4.999727,0.99840665,0.005979624,0.0051207975,0.2002329
229.76335,7.21331,1592.4963,1657.3542,459.1061,0.96086663,5.0012565,0.99912983,0.0018029338,0.008613529,0.20028579
229.83028,7.2092385,1592.2306,1656.9012,458.39236,0.9609689,4.9993396,0.99423325,0.009205191,0.001679155,0.19934556
229.86256,7.213531,1593.6079,1658.1208,458.01562,0.96109277,5.002496,0.9938434,0.0077339257,0.006678339,0.19915447
229.95734,7.20689,1593.0172,1657.2773,457.01678,0.9612255,4.9974613,0.99516237,0.0038997778,0.0058346028,0.19960384
229.82932,7.212055,1592.091,1657.5417,461.18436,0.96051335,4.9985614,1.0077289,0.006287304,0.007826401,0.20217253
229.80612,7.2124877,1592.5935,1657.4738,459.20062,0.9608559,5.0001936,1.0015813,0.01025709,0.0042582583,0.20080271
229.9057,7.221192,1595.0104,1660.1932,460.63382,0.96073776,5.005559,1.0061184,0.004504743,0.002882875,0.20148903
229.8436,7.2092137,1593.0608,1656.9916,455.8272,0.96141756,4.99897,0.9962046,0.0038503802,0.0061697457,0.19971171
229.68405,7.2037425,1589.8148,1654.5848,458.40985,0.96085423,4.994581,0.9982029,0.0055497205,0.002938557,0.20032857
229.86671,7.213108,1592.5944,1658.0535,461.28537,0.96052057,5.0004144,1.0025944,0.0048323385,0.0062164534,0.2010278
229.87859,7.2159944,1593.5621,1658.8026,460.63593,0.96067023,5.001785,1.0061532,0.0051867943,0.0057297214,0.20166403
229.80045,7.207038,1591.1954,1656.1804,459.38104,0.9607621,4.996774,0.99880934,0.002331285,0.006837836,0.20042393
229.90341,7.214319,1593.0648,1658.5967,461.61377,0.96048963,5.000309,1.007588,0.008099772,0.0077482564,0.20199148
229.78737,7.2183046,1593.5972,1658.6752,460.0558,0.96076506,5.0031757,1.0079526,0.0055397386,0.0055067902,0.2018824
229.71323,7.20677,1590.8265,1655.4904,458.1696,0.96093976,4.9971375,0.99587375,0.007475741,0.0059973784,0.19985242
229.84195,7.218482,1594.1866,1659.11,459.5814,0.96086854,5.0046234,1.0010169,0.0049561784,0.0031320853,0.20051204
229.83418,7.2118416,1592.5781,1657.5277,459.44897,0.9608153,5.0008864,0.9955811,0.0048989807,0.0048746793,0.19961078
229.93977,7.2199006,1595.7169,1660.1423,457.99573,0.96119285,5.006268,0.99770373,0.0033802993,0.0062553734,0.19982687
229.99104,7.2125216,1593.5769,1658.8153,460.63092,0.9606717,5.0004873,1.0000803,0.0011427953,0.002071023,0.20051621
229.81874,7.20988,1591.9214,1656.9656,459.69693,0.960745,4.999153,0.9971573,0.0026937567,0.004667631,0.1999993
229.58276,7.2127595,1590.648,1655.9253,460.35574,0.9605796,5.000249,1.0021292,0.0050231838,0.002727489,0.20093398
230.01357,7.218768,1595.9562,1660.4146,458.1492,0.9611793,5.0046973,1.0017152,0.0051386105,0.0036979988,0.20064127
229.53033,7.200395,1588.1736,1652.709,457.33118,0.96095175,4.9913154,1.0021708,0.007605272,0.0030266626,0.20130886
229.93504,7.2124133,1593.6079,1658.3865,458.97678,0.96093875,4.9999166,1.0026124,0.0064272974,0.009106783,0.20103066
229.89882,7.215943,1594.1332,1658.9368,459.14093,0.9609367,5.003697,0.9968445,0.0019680606,0.004214899,0.19964546
229.99194,7.2112865,1594.1985,1658.5377,457.46973,0.9612073,5.0012336,0.9918252,0.007885199,0.0035733848,0.19884981
229.78146,7.1985598,1589.3768,1654.0956,458.16302,0.96087366,4.9910636,0.99693596,0.009229321,0.0024561645,0.20025033
230.04187,7.211015,1593.3633,1658.8354,461.44193,0.96053123,4.9984703,1.004713,0.0059120744,0.0070699262,0.20152287
229.90279,7.2198963,1595.182,1659.8743,458.88666,0.9610258,5.0050206,1.0039114,0.0029702913,0.0054257098,0.20112266
229.87846,7.213088,1593.7272,1658.1337,457.64722,0.9611572,5.000786,1.0008566,0.0050226063,0.007425375,0.20061703
229.88011,7.2116723,1592.5293,1657.8201,460.67123,0.96061647,4.999895,1.0001514,0.008435573,0.0041002547,0.20051993
229.64313,7.214458,1591.6466,1656.7507,459.8738,0.96070373,5.000968,1.0048813,0.004916152,0.0044832206,0.20140842
229.83028,7.215141,1593.8069,1658.2578,457.81955,0.9611333,5.002187,1.0010395,0.0053369356,0.0054628393,0.2006364
229.74786,7.2037597,1590.0728,1655.0483,459.188,0.960741,4.9941864,1.0003759,0.0033585953,0.004740074,0.20075144
229.84256,7.201083,1591.1572,1655.1154,455.6597,0.96135724,4.9926925,0.99809223,0.0052483636,0.0062681106,0.20037647
229.71626,7.209856,1592.0516,1656.2212,456.5522,0.9612555,4.999064,0.9980029,0.0035264245,0.00064929615,0.20007572
229.6341,7.2216415,1593.9187,1658.3351,457.71,0.961156,5.006958,1.000758,0.007918616,0.0063350154,0.20036545
229.82968,7.214513,1592.6948,1658.1091,461.13864,0.9605489,5.000876,1.0057547,0.004917127,0.006831444,0.20154567
229.8815,7.20637,1591.8436,1656.6111,458.68744,0.96090364,4.9970927,0.9949465,0.0028473826,0.008763429,0.19961119
229.76212,7.207045,1591.0189,1655.906,459.0025,0.9608148,4.995887,1.0034815,0.0074481573,0.0052489727,0.2013505
229.68535,7.2158294,1592.4962,1657.3702,459.16467,0.9608572,5.0028033,1.0007576,0.013535102,0.0063124364,0.20049264
229.87106,7.2048435,1591.9543,1656.185,456.7607,0.96121764,4.9962053,0.9941094,0.003716669,0.007670633,0.19943233
229.79686,7.206848,1591.4071,1656.1111,458.39648,0.96093017,4.9972153,0.9960017,0.0017267298,0.004684637,0.19982804
229.87604,7.2059684,1591.5657,1656.4795,459.17624,0.9608122,4.995899,0.99959457,0.011360933,0.010016297,0.2005635
229.59569,7.2107162,1591.4698,1655.5493,456.1442,0.9612941,5.000328,0.9946597,0.0019654373,0.0011804617,0.1993795
229.81903,7.2056055,1590.6398,1655.9854,460.6001,0.96053976,4.9952345,1.0014092,0.0037860197,0.0018284752,0.20099321
229.79836,7.216352,1593.8103,1658.3058,457.98138,0.96110755,5.0039277,0.99700356,0.007496759,0.004921716,0.19970113
229.65504,7.214982,1592.1013,1656.957,459.04272,0.9608585,5.002339,0.9996987,0.0060741603,0.0045947963,0.20036459
229.86069,7.2081547,1591.8983,1656.8715,459.43753,0.9607856,4.997489,0.9995251,0.0021964572,0.006911514,0.2004896
229.93155,7.2104206,1592.8628,1657.9032,459.8165,0.9607695,4.9979157,1.0055504,0.0028071865,0.010227596,0.20167233
230.05034,7.209235,1592.7233,1658.4869,462.39767,0.9603472,4.996819,1.0067136,0.00432905,0.0047126953,0.2019544
229.71877,7.207527,1590.2947,1655.7042,460.78137,0.9604944,4.9949327,1.0097827,0.008917761,0.013497752,0.20268042
229.9157,7.209352,1593.5581,1657.5432,456.0943,0.96139765,4.9989934,0.996136,0.007648336,0.002391343,0.19978644
229.63576,7.2081175,1590.3759,1655.2416,458.8347,0.9608119,4.997395,0.99988383,0.0039466512,0.004818825,0.20055754
229.62547,7.21083,1591.2198,1655.7903,457.88754,0.96100324,5.0001626,0.99581593,0.0031081783,0.0062399674,0.19963412
229.78833,7.2183747,1594.3883,1658.6982,457.3905,0.9612286,5.005128,0.9982503,0.00533363,0.0024263917,0.19991326
229.91689,7.203464,1591.0334,1656.198,460.00488,0.9606541,4.994456,0.99774843,0.005531886,0.004293199,0.20025796
229.73557,7.2082744,1590.8529,1655.9971,459.90552,0.9606617,4.996486,1.004765,0.0050370977,0.007776039,0.2016114
229.88385,7.212493,1593.6212,1658.0356,457.66113,0.9611501,5.0014467,0.9955499,0.0011186547,0.0018897218,0.19949736
229.83882,7.2132497,1593.4829,1657.8848,457.5964,0.96115416,5.0019064,0.99570894,0.0028152103,0.0053023463,0.19956702
229.81775,7.2150073,1593.2559,1658.1367,459.29645,0.9608712,5.0023484,0.99972737,0.002266629,0.0062876036,0.20037459
230.07822,7.207967,1593.5925,1658.3961,459.06473,0.96092397,4.996428,1.0042487,0.0036776934,0.0046719024,0.20145717
229.9907,7.208335,1593.1136,1657.85,458.75433,0.9609516,4.99754,0.99972516,0.0025717944,0.008668606,0.20056221
229.71046,7.2115316,1591.3143,1656.5643,460.3521,0.9606112,4.999662,1.0007472,0.0042693294,0.0037498667,0.20065999
229.65186,7.208493,1590.8195,1655.4437,458.02576,0.96096253,4.9981947,0.99709463,0.0027853402,0.006811364,0.19999963
230.0481,7.2127137,1594.8553,1659.2711,457.8393,0.9611783,5.0007896,0.9992537,0.0054825516,0.0059373733,0.20034093
229.8968,7.217422,1593.611,1659.2623,462.12076,0.9604334,5.0035076,1.002757,0.0023649808,0.004772194,0.20090666
229.89503,7.216007,1593.8793,1658.9242,459.9767,0.9607909,5.0042887,0.99380875,0.0062912414,0.006597864,0.19907887
229.68332,7.207497,1591.683,1655.4419,455.00906,0.96148527,4.9982934,0.99318427,0.008002523,0.010007453,0.19917458
229.7812,7.2211046,1593.5099,1659.274,462.51144,0.96036565,5.0065336,1.0009099,0.009451983,0.0037043977,0.20041639
229.87311,7.2195935,1594.9146,1659.5905,458.7896,0.961029,5.0068297,0.9939154,0.008648791,0.00781307,0.19902138
229.85176,7.2081957,1592.9331,1656.8164,455.6367,0.9614421,4.9980783,0.9962433,0.0026322876,0.0037237422,0.19990464
229.77855,7.2063694,1590.5571,1655.869,460.46774,0.9605573,4.9962635,0.99914336,0.0073976954,0.0072055818,0.20047249
229.65694,7.2070527,1590.2721,1655.1498,458.86307,0.96080256,4.9969172,0.9985039,0.0033237168,0.004438359,0.2002873
229.83238,7.2104735,1592.3787,1657.2003,458.95895,0.9608848,4.998564,1.0024035,0.004162088,0.00968067,0.2010384
229.59628,7.207568,1589.894,1654.8308,459.02292,0.9607593,4.9959407,1.0051244,0.0020221004,0.015452698,0.20166796
229.64032,7.2141924,1591.234,1656.6696,461.0078,0.9605018,5.001137,1.0029557,0.0026891525,0.0035144063,0.20104323
229.68938,7.2093935,1590.6714,1655.921,460.25967,0.96059614,4.9981284,1.0006641,0.0077819396,0.0063747657,0.20071298
229.94576,7.198785,1591.0859,1655.3301,456.68686,0.96118957,4.99208,0.99249834,0.0012620714,0.0055676396,0.1993521
229.83098,7.214397,1592.5929,1658.0919,461.42908,0.9604973,5.000425,1.0069982,0.0044027125,0.004185987,0.20192528
229.70122,7.208365,1590.7708,1655.7701,459.37256,0.9607437,4.9983726,0.99589044,0.0036181503,0.004722855,0.19971813
229.81601,7.2140703,1592.8568,1657.9088,459.8573,0.9607626,5.002171,0.9973217,0.004772177,0.005842014,0.19988342
229.6175,7.2060285,1589.6251,1654.6301,459.23077,0.96071327,4.9964423,0.9968066,0.004020724,0.0040352475,0.20004196
229.97044,7.2045097,1591.9515,1656.8243,459.08325,0.96084505,4.9950514,0.9983257,0.008124949,0.005569189,0.20039451
229.79146,7.216096,1593.2986,1658.1971,459.3664,0.960862,5.002969,1.0005037,0.003599447,0.0040303096,0.20051254
229.75345,7.2086763,1591.7726,1656.2183,457.51407,0.96108866,4.9972606,1.0027003,0.0072442642,0.0052134874,0.20109753
229.84145,7.209436,1592.1389,1657.0272,459.16547,0.9608405,4.997847,1.0024228,0.009272735,0.0020842154,0.2010349
229.88345,7.203254,1591.5243,1655.9089,457.25793,0.9611182,4.9935474,1.0013528,0.0056791524,0.008704065,0.20105034
229.58304,7.212812,1590.8357,1655.9392,459.75687,0.96068484,5.0000367,1.0037028,0.0058875135,0.009182206,0.20119089
229.85619,7.2057834,1591.9818,1656.2938,457.05936,0.9611711,4.9954333,1.0012832,0.006189809,0.0068018157,0.20091349
229.79796,7.2131643,1592.1837,1657.5704,460.96707,0.9605527,4.999873,1.0053849,0.006012648,0.004014132,0.20161283
229.87161,7.2114797,1592.9374,1657.7145,458.87646,0.9609239,4.999957,0.99907166,0.0008456342,0.0034289146,0.20031664
229.69295,7.2191033,1593.0378,1658.1771,460.19724,0.96071637,5.0058446,0.9970532,0.0072478424,0.0007538183,0.19969396
229.6485,7.210953,1590.7095,1655.9846,460.35648,0.9605823,4.998819,1.0026268,0.0050236634,0.004683839,0.20111911
229.81161,7.211809,1591.77,1657.3575,461.6301,0.96042645,4.998233,1.0088172,0.007126623,0.003955768,0.2023354
230.04005,7.20783,1592.8301,1658.0896,460.60126,0.96064174,4.9979386,0.99602765,0.0035880818,0.0024144244,0.19978383
229.86678,7.203731,1591.0531,1655.8984,458.85703,0.96083975,4.9937544,1.0022073,0.011009641,0.0041894373,0.20118009
229.8543,7.214888,1593.4381,1658.373,459.51706,0.9608442,5.0013385,1.0042075,0.0024689492,0.008164054,0.20133375
